id;type_ID;name;code1;code2;property1;property2;manufacture;price;price_unitID;image_path;record_date
206;8;KRÝSTAL OSÝLATÖR;20.000MHZ KRÝSTAL OSÝLATÖR;;20.000MHZ KRÝSTAL OSÝLATÖR;;;0;Usd;;06.06.2020 08:33
207;9;Þeffaf Etiket Kaplama;20x30mm;;20x30mm;;;0;Usd;;06.06.2020 08:33
208;8;DÝRENÇ;22 OHM;;22 OHM;;;0;Usd;;06.06.2020 08:33
209;8;DÝRENÇ;220 OHM;;220 OHM;;;0;Usd;;06.06.2020 08:33
210;8;DÝRENÇ;220k 1/4W ;;220k 1/4W ;;;0;Usd;;06.06.2020 08:33
211;8;DÝRENÇ;220R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
212;8;DÝRENÇ;220R 5W TAÞ ;;220R 5W TAÞ ;;;0;Usd;;06.06.2020 08:33
213;8;DÝRENÇ;22k 1/4W ;;22k 1/4W ;;;0;Usd;;06.06.2020 08:33
214;8;DÝRENÇ;22K 5W TAÞ ;;22K 5W TAÞ ;;;0;Usd;;06.06.2020 08:33
215;8;KONDANSATÖR;22mF  50V ;;22mF  50V  KONDANSATÖR;;;0;Usd;;06.06.2020 08:33
216;8;DÝRENÇ;22PF;;22PF;;;0;Usd;;06.06.2020 08:33
217;8;DÝRENÇ;22R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
218;8;KONDANSATÖR;22U TANTAL;;22U TANTAL;;;0;Usd;;06.06.2020 08:33
219;8;ENTEGRE SOKETÝ;24 LÜ;;24 LÜ;;;0;Usd;;06.06.2020 08:33
220;8;ENTEGRE;24CO2EEPROM;;24CO2EEPROM;;;0;Usd;;06.06.2020 08:33
221;8;DÝRENÇ;270 K;;270 K;;;0;Usd;;06.06.2020 08:33
222;8;DÝRENÇ;270k1/4W ;;270k1/4W ;;;0;Usd;;06.06.2020 08:33
223;8;DÝRENÇ;270R 1/4W ;;270R 1/4W ;;;0;Usd;;06.06.2020 08:33
224;8;DÝRENÇ;27k 1/4W ;;27k 1/4W ;;;0;Usd;;06.06.2020 08:33
225;8;DÝRENÇ;27R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
226;8;ENTEGRE SOKETÝ;28 LÝ;;28 LÝ;;;0;Usd;;06.06.2020 08:33
227;8;REGÜLATÖR;28L15;;28L15;;;0;Usd;;06.06.2020 08:33
229;8;JUMPER;2'LÝ JUMPER;;2'LÝ;;;0;Usd;;06.06.2020 08:33
228;12;SENSÖR;2'LÝ SENSOR;;2'LÝ;;;0;Usd;;06.06.2020 08:33
230;8;TRANSÝSTÖR;2N2222;;2N2222;;;0;Usd;;06.06.2020 08:33
231;8;REGÜLATÖR;2N2907;;2N2907;;;0;Usd;;06.06.2020 08:33
232;8;TRANSÝSTÖR;2N3904;;2N3904;;;0;Usd;;06.06.2020 08:33
233;8;TRANSÝSTÖR;2N3906;;2N3906;;;0;Usd;;06.06.2020 08:33
234;8;KONEKTÖR;2PÝN 2.50mm tunik takýmý;;2PÝN 2.50mm tunik takýmý;;;0;Usd;;06.06.2020 08:33
235;8;KONEKTÖR;2PÝN 2.54mm tunik takýmý;;2PÝN 2.54mm tunik takýmý;;;0;Usd;;06.06.2020 08:33
236;8;KONEKTÖR;2PÝN 3.86mm ERKEK;;2PÝN 3.86mm ERKEK;;;0;Usd;;06.06.2020 08:33
237;8;KONEKTÖR ;2PÝN 3.96mm ERKEK 90DERECE;;2PÝN 3.96mm ERKEK 90DERECE;;;0;Usd;;06.06.2020 08:33
238;8;KONEKTÖR;2PÝN DÝÞÝ KÝLÝTLÝ 5.08mm ;;2PÝN DÝÞÝ KÝLÝTLÝ 5.08mm ;;;0;Usd;;06.06.2020 08:33
239;8;KONEKTÖR ;2PÝN DÝÞÝ SIKIÞTIRMALI ;;2PÝN DÝÞÝ SIKIÞTIRMALI ;;;0;Usd;;06.06.2020 08:33
240;8;KONEKTÖR;2PÝN ERKEK 5.08mm ;;2PÝN ERKEK 5.08mm ;;;0;Usd;;06.06.2020 08:33
241;8;KONEKTÖR ;2PÝN ERKEK tunik;;2PÝN ERKEK tunik;;;0;Usd;;06.06.2020 08:33
242;8;SMD DÝRENÇ;2R2;;2R2;;;0;Usd;;06.06.2020 08:33
243;8;KONDANSATÖR;2U2 / 63V / DÝP / 2 AYAK;;KUTUPLU KONDANSATÖR / 2U2 / 63V / DÝP / 2 AYAK;;;0;Usd;;06.06.2020 08:33
244;8;SWÝTCH;3 LÜ DÝP;;3 LÜ DÝP;;;0;Usd;;06.06.2020 08:33
245;8;DÝRENÇ;3,3k 1/4W ;;3,3k 1/4W ;;;0;Usd;;06.06.2020 08:33
246;8;DÝRENÇ;3,3M 1/4W ;;3,3M 1/4W ;;;0;Usd;;06.06.2020 08:33
247;8;DÝRENÇ;3,9k 1/4W ;;3,9k 1/4W ;;;0;Usd;;06.06.2020 08:33
248;8;KONNEKTÖR;3.96mm KONNEKTOR PIM;;3.96mm KONNEKTOR PIM;;;0;Usd;;06.06.2020 08:33
249;8;DÝRENÇ;330k 1/4W ;;330k 1/4W ;;;0;Usd;;06.06.2020 08:33
250;8;DÝRENÇ;330R 1/4W ;;330R 1/4W ;;;0;Usd;;06.06.2020 08:33
251;8;DÝRENÇ;33k 1/4W ;;33k 1/4W ;;;0;Usd;;06.06.2020 08:33
252;8;DÝRENÇ;33R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
253;8;DÝRENÇ;390k 1/4W ;;390k 1/4W ;;;0;Usd;;06.06.2020 08:33
254;8;DÝRENÇ;390R 1/4W ;;390R 1/4W ;;;0;Usd;;06.06.2020 08:33
255;8;DÝRENÇ;39k 1/4W ;;39k 1/4W ;;;0;Usd;;06.06.2020 08:33
256;8;DÝRENÇ;39R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
257;8;DÝRENÇ;3K 1/4W;;3K 1/4W DÝRENÇ;;;0;Usd;;06.06.2020 08:33
258;8;YAYLI KLEMENS;3'LÜ ;;3'LÜ ;;;0;Usd;;06.06.2020 08:33
259;8;KLEMENS;3'LÜ / GEÇMELÝ / DÝÞÝ / 3.81MM ;;3'LÜ / GEÇMELÝ / DÝÞÝ / 3.81MM ;;;0;Usd;;06.06.2020 08:33
260;8;SWÝTCH;3lü DÝP;;3lü DÝP;;;0;Usd;;06.06.2020 08:33
261;8;LED;3MM LED;;3MM LED;;;0;Usd;;06.06.2020 08:33
262;8;TUNÝK;3PÝN TUNÝK KONNEKTÖR;;3PÝN TUNÝK KONNEKTÖR;;;0;Usd;;06.06.2020 08:33
263;8;KONEKTÖR;3PÝN tunik takým 2.54mm ;;3PÝN tunik takým 2.54mm ;;;0;Usd;;06.06.2020 08:33
264;8;KONEKTÖR;3PÝN tunik takýmý 2.50mm;;3PÝN tunik takýmý 2.50mm;;;0;Usd;;06.06.2020 08:33
265;8;DÝRENÇ;3R3 - 1/4W;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
266;9;Kontaktör;3RT1015-1AP04-3MA0, 220V, 3KW, 1NO;;3RT1015-1AP04-3MA0, 220V, 3KW, 1NO;;;0;Usd;;06.06.2020 08:33
267;9;Motor koruma þalteri;3RV1011-0AA10, 1,1-1,6A;;3RV1011-0AA10, 1,1-1,6A;;;0;Usd;;06.06.2020 08:33
268;9;Motor koruma þalteri;3RV1011-0JA10, 0,7-1A;;3RV1011-0JA10, 0,7-1A;;;0;Usd;;06.06.2020 08:33
269;9;Motor koruma þalteri;3RV1031-4EA10, 22-32 A;;3RV1031-4EA10, 22-32 A;;;0;Usd;;06.06.2020 08:33
270;9;Kontaktör;3TB42, 220V, 7,5KW,1NO+1NC;;3TB42, 220V, 7,5KW,1NO+1NC;;;0;Usd;;06.06.2020 08:33
271;9;Kontaktör;3TF2010-00B4, 24V DC, 4KW, 1NO;;3TF2010-00B4, 24V DC, 4KW, 1NO;;;0;Usd;;06.06.2020 08:33
272;9;Kontaktör;3TF40, 220V, 4KW, 1NO;;3TF40, 220V, 4KW, 1NO;;;0;Usd;;06.06.2020 08:33
273;9;Termik Röle;3UA59 00-OJ, 0,63-1A;;3UA59 00-OJ, 0,63-1A;;;0;Usd;;06.06.2020 08:33
274;8;BUTON;3X4 2mm;;3X4 2mm;;;0;Usd;;06.06.2020 08:33
275;12;DÝSPLAY MODÜL;4 DÝGÝT;;4 DÝGÝT;;;0;Usd;;06.06.2020 08:33
276;8;SWÝTCH;4 LÜ DÝP;;4 LÜ DÝP;;;0;Usd;;06.06.2020 08:33
277;8;SWÝTCH;4 LÜ SMD;;4 LÜ SMD;;;0;Usd;;06.06.2020 08:33
278;8;KRÝSTAL OSÝLATÖR;4 MHZ KRÝSTAL OSÝLATÖR;;4 MHZ KRÝSTAL OSÝLATÖR;;;0;Usd;;06.06.2020 08:33
279;8;SEGMENT DÝSPLAY;4,50-3 SEGMENT DÝSPLAY;;4,50-3 SEGMENT DÝSPLAY;;;0;Usd;;06.06.2020 08:33
280;8;DÝRENÇ;4,7k 1/4W ;;4,7k 1/4W ;;;0;Usd;;06.06.2020 08:33
281;8;DÝRENÇ;4,7K 5W TAÞ ;;4,7K 5W TAÞ ;;;0;Usd;;06.06.2020 08:33
282;8;DÝRENÇ;4.7 OHM;;4.7 OHM;;;0;Usd;;06.06.2020 08:33
283;8;ENTEGRE SOKETÝ;40 LI;;40 LI;;;0;Usd;;06.06.2020 08:33
284;8;SOKET;40 LI PRC ;;40 LI PRC ;;;0;Usd;;06.06.2020 08:33
285;8;HEADER;40X12 ERKEK ;;40X12 ERKEK ;;;0;Usd;;06.06.2020 08:33
286;8;HEADER;40X12 ERKEK -KISA - TEKLÝ;;40X12 ERKEK -KISA - TEKLÝ;;;0;Usd;;06.06.2020 08:33
287;8;DÝRENÇ;41 OHM;;41 OHM;;;0;Usd;;06.06.2020 08:33
288;8;DÝRENÇ;470k 1/4W ;;470k 1/4W ;;;0;Usd;;06.06.2020 08:33
289;8;DÝRENÇ;470R 1/4W ;;470R 1/4W ;;;0;Usd;;06.06.2020 08:33
290;8;DÝRENÇ;47k 1/4W ;;47k 1/4W ;;;0;Usd;;06.06.2020 08:33
291;8;DÝRENÇ;47R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
292;12;RÖLE MODÜLÜ;4'LÜ ;;4'LÜ ;;;0;Usd;;06.06.2020 08:33
293;8;KRÝSTAL OSÝLATÖR;4MHZ KRÝSTAL OSÝLATÖR;;4MHZ KRÝSTAL OSÝLATÖR;;;0;Usd;;06.06.2020 08:33
294;8;OPTOKUPLÖR;4N25;;4N25;;;0;Usd;;06.06.2020 08:33
295;8;DÝRENÇ;4R7 - 1/4W;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
296;8;KONDANSATÖR;4U7 / 50V / DÝP / 2 AYAK;;KUTUPLU KONDANSATÖR / 4U7 / 50V / DÝP / 2 AYAK;;;0;Usd;;06.06.2020 08:33
297;8;BUTON ;4X4 9.8mm ;;4X4 9.8mm ;;;0;Usd;;06.06.2020 08:33
298;8;DÝRENÇ;5,6k 1/4W ;;5,6k 1/4W ;;;0;Usd;;06.06.2020 08:33
299;8;KONNEKTÖR;5.08mm KONNEKTÖR PIM;;5.08mm KONNEKTÖR PIM;;;0;Usd;;06.06.2020 08:33
300;8;DÝRENÇ;50W;ALÜMÝNYUM;50W;;;0;Usd;;06.06.2020 08:33
301;8;DÝRENÇ;560k 1/4W ;;560k 1/4W ;;;0;Usd;;06.06.2020 08:33
302;8;DÝRENÇ;560R 1/4W ;;560R 1/4W ;;;0;Usd;;06.06.2020 08:33
303;8;DÝRENÇ;56k 1/4W ;;56k 1/4W ;;;0;Usd;;06.06.2020 08:33
304;8;DÝRENÇ;56R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
305;9;Endüstriyel Priz;5P, 16A, Makine tipi;;5P, 16A, Makine tipi;;;0;Usd;;06.06.2020 08:33
